837: done 1 games, mean reward -21.000, eps 0.99, speed 799.22 f/s
1687: done 2 games, mean reward -21.000, eps 0.98, speed 669.46 f/s
2705: done 3 games, mean reward -20.667, eps 0.97, speed 700.22 f/s
3822: done 4 games, mean reward -20.250, eps 0.96, speed 667.77 f/s
4780: done 5 games, mean reward -20.200, eps 0.95, speed 660.50 f/s
5750: done 6 games, mean reward -20.167, eps 0.94, speed 644.77 f/s
6531: done 7 games, mean reward -20.286, eps 0.93, speed 641.16 f/s
7450: done 8 games, mean reward -20.250, eps 0.93, speed 649.95 f/s
8272: done 9 games, mean reward -20.333, eps 0.92, speed 619.32 f/s
9112: done 10 games, mean reward -20.300, eps 0.91, speed 625.39 f/s
9953: done 11 games, mean reward -20.364, eps 0.90, speed 629.41 f/s
10972: done 12 games, mean reward -20.333, eps 0.89, speed 15.06 f/s
11734: done 13 games, mean reward -20.385, eps 0.88, speed 13.70 f/s
12584: done 14 games, mean reward -20.429, eps 0.87, speed 13.09 f/s
13484: done 15 games, mean reward -20.400, eps 0.87, speed 13.72 f/s
14403: done 16 games, mean reward -20.375, eps 0.86, speed 13.75 f/s
15287: done 17 games, mean reward -20.412, eps 0.85, speed 13.64 f/s
16291: done 18 games, mean reward -20.444, eps 0.84, speed 13.46 f/s
17328: done 19 games, mean reward -20.421, eps 0.83, speed 14.75 f/s
18270: done 20 games, mean reward -20.450, eps 0.82, speed 15.03 f/s
19176: done 21 games, mean reward -20.476, eps 0.81, speed 15.30 f/s
20118: done 22 games, mean reward -20.500, eps 0.80, speed 15.27 f/s
21185: done 23 games, mean reward -20.478, eps 0.79, speed 14.91 f/s
22095: done 24 games, mean reward -20.500, eps 0.78, speed 14.98 f/s
23078: done 25 games, mean reward -20.480, eps 0.77, speed 15.48 f/s
23919: done 26 games, mean reward -20.500, eps 0.76, speed 15.22 f/s
24861: done 27 games, mean reward -20.519, eps 0.75, speed 15.16 f/s
25729: done 28 games, mean reward -20.500, eps 0.74, speed 15.07 f/s
26583: done 29 games, mean reward -20.483, eps 0.73, speed 14.97 f/s
27653: done 30 games, mean reward -20.433, eps 0.72, speed 14.53 f/s
28704: done 31 games, mean reward -20.419, eps 0.71, speed 14.14 f/s
29681: done 32 games, mean reward -20.406, eps 0.70, speed 15.30 f/s
30679: done 33 games, mean reward -20.364, eps 0.69, speed 13.62 f/s
31563: done 34 games, mean reward -20.382, eps 0.68, speed 15.08 f/s
32403: done 35 games, mean reward -20.371, eps 0.68, speed 14.54 f/s
33244: done 36 games, mean reward -20.361, eps 0.67, speed 15.04 f/s
34175: done 37 games, mean reward -20.378, eps 0.66, speed 14.19 f/s
34997: done 38 games, mean reward -20.395, eps 0.65, speed 14.21 f/s
35787: done 39 games, mean reward -20.410, eps 0.64, speed 13.97 f/s
36549: done 40 games, mean reward -20.425, eps 0.63, speed 14.78 f/s
37474: done 41 games, mean reward -20.415, eps 0.63, speed 15.18 f/s
38418: done 42 games, mean reward -20.405, eps 0.62, speed 15.32 f/s
39328: done 43 games, mean reward -20.419, eps 0.61, speed 15.24 f/s
40180: done 44 games, mean reward -20.432, eps 0.60, speed 14.26 f/s
41321: done 45 games, mean reward -20.400, eps 0.59, speed 14.88 f/s
42319: done 46 games, mean reward -20.370, eps 0.58, speed 15.16 f/s
43280: done 47 games, mean reward -20.383, eps 0.57, speed 14.21 f/s
44164: done 48 games, mean reward -20.396, eps 0.56, speed 14.11 f/s
44954: done 49 games, mean reward -20.408, eps 0.55, speed 13.92 f/s
45794: done 50 games, mean reward -20.400, eps 0.54, speed 13.66 f/s
46811: done 51 games, mean reward -20.392, eps 0.53, speed 14.41 f/s
47652: done 52 games, mean reward -20.404, eps 0.52, speed 14.81 f/s
48433: done 53 games, mean reward -20.415, eps 0.52, speed 14.23 f/s
49408: done 54 games, mean reward -20.407, eps 0.51, speed 14.69 f/s
50308: done 55 games, mean reward -20.400, eps 0.50, speed 14.70 f/s
51279: done 56 games, mean reward -20.393, eps 0.49, speed 13.95 f/s
52191: done 57 games, mean reward -20.404, eps 0.48, speed 13.35 f/s
52953: done 58 games, mean reward -20.414, eps 0.47, speed 13.98 f/s
53850: done 59 games, mean reward -20.407, eps 0.46, speed 13.37 f/s
54660: done 60 games, mean reward -20.417, eps 0.45, speed 13.59 f/s
55632: done 61 games, mean reward -20.426, eps 0.44, speed 13.60 f/s
56510: done 62 games, mean reward -20.435, eps 0.43, speed 13.34 f/s
57454: done 63 games, mean reward -20.444, eps 0.43, speed 14.27 f/s
58235: done 64 games, mean reward -20.453, eps 0.42, speed 14.22 f/s
