938: done 151 games, mean reward -21.000, eps 0.99, speed 515.78 f/s
1821: done 152 games, mean reward -21.000, eps 0.98, speed 555.27 f/s
2862: done 153 games, mean reward -20.000, eps 0.97, speed 537.97 f/s
3804: done 154 games, mean reward -20.250, eps 0.96, speed 515.47 f/s
4767: done 155 games, mean reward -20.200, eps 0.95, speed 531.70 f/s
5577: done 156 games, mean reward -20.333, eps 0.94, speed 512.78 f/s
6435: done 157 games, mean reward -20.286, eps 0.94, speed 497.45 f/s
7305: done 158 games, mean reward -20.375, eps 0.93, speed 499.79 f/s
8337: done 159 games, mean reward -20.222, eps 0.92, speed 491.91 f/s
9251: done 160 games, mean reward -20.300, eps 0.91, speed 491.78 f/s
10268: done 161 games, mean reward -20.364, eps 0.90, speed 40.82 f/s
11155: done 162 games, mean reward -20.333, eps 0.89, speed 11.65 f/s
12285: done 163 games, mean reward -20.231, eps 0.88, speed 11.57 f/s
13233: done 164 games, mean reward -20.143, eps 0.87, speed 11.56 f/s
14112: done 165 games, mean reward -20.133, eps 0.86, speed 11.56 f/s
15030: done 166 games, mean reward -20.125, eps 0.85, speed 11.34 f/s
15949: done 167 games, mean reward -20.118, eps 0.84, speed 11.76 f/s
16836: done 168 games, mean reward -20.111, eps 0.83, speed 11.81 f/s
17842: done 169 games, mean reward -20.158, eps 0.82, speed 11.72 f/s
18752: done 170 games, mean reward -20.200, eps 0.81, speed 11.89 f/s
19708: done 171 games, mean reward -20.190, eps 0.80, speed 11.83 f/s
20648: done 172 games, mean reward -20.227, eps 0.79, speed 11.55 f/s
21590: done 173 games, mean reward -20.261, eps 0.78, speed 11.56 f/s
22371: done 174 games, mean reward -20.292, eps 0.78, speed 14.25 f/s
23259: done 175 games, mean reward -20.280, eps 0.77, speed 14.24 f/s
24095: done 176 games, mean reward -20.269, eps 0.76, speed 14.78 f/s
24876: done 177 games, mean reward -20.296, eps 0.75, speed 13.22 f/s
25717: done 178 games, mean reward -20.321, eps 0.74, speed 13.17 f/s
26680: done 179 games, mean reward -20.276, eps 0.73, speed 14.74 f/s
